2022-12-31 21:39:11,029 p=57329 u=craig n=ansible | PLAY [Create an LXC container in Proxmox] *****************************************************************************************************************************
2023-01-09 22:18:26,846 p=4845 u=craig n=ansible | ok: [192.168.1.99]
2023-01-09 22:18:26,866 p=4845 u=craig n=ansible | TASK [pm_create_lxc : Copy the bash script to snippets directory and make it executable] ************************************************************************************************
2023-01-09 22:18:30,277 p=4845 u=craig n=ansible | changed: [192.168.1.99]
2023-01-09 22:18:30,305 p=4845 u=craig n=ansible | TASK [pm_create_lxc : Print the ssh key and store it to a variable] *********************************************************************************************************************
2023-01-09 22:18:30,777 p=4845 u=craig n=ansible | changed: [192.168.1.99 -> localhost]
2023-01-09 22:18:30,793 p=4845 u=craig n=ansible | TASK [pm_create_lxc : Create LXC without hookscript] ************************************************************************************************************************************
2023-01-09 22:18:30,803 p=4845 u=craig n=ansible | skipping: [192.168.1.99]
2023-01-09 22:18:30,819 p=4845 u=craig n=ansible | TASK [pm_create_lxc : Create LXC without hookscript] ************************************************************************************************************************************
2023-01-09 22:18:32,106 p=4845 u=craig n=ansible | fatal: [192.168.1.99]: FAILED! => {"changed": false, "msg": "Creation of lxc VM 112 failed with exception: 400 Bad Request: Parameter verification failed. - {'hookscript': \"invalid format - unable to parse volume ID '{local:snippets/enable_lxc_ssh_hook.sh'\\n\"}"}
2023-01-09 22:18:32,108 p=4845 u=craig n=ansible | PLAY RECAP ******************************************************************************************************************************************************************************
2023-01-09 22:18:32,108 p=4845 u=craig n=ansible | 192.168.1.99               : ok=6    changed=2    unreachable=0    failed=1    skipped=1    rescued=0    ignored=0   
2023-01-09 22:20:39,822 p=5114 u=craig n=ansible | PLAY [Create an LXC container in Proxmox] ***********************************************************************************************************************************************
2023-01-09 22:20:39,840 p=5114 u=craig n=ansible | TASK [Gathering Facts] ******************************************************************************************************************************************************************
2023-01-09 22:20:42,909 p=5114 u=craig n=ansible | ok: [192.168.1.99]
2023-01-09 22:20:42,926 p=5114 u=craig n=ansible | TASK [ansible.builtin.include_vars] *****************************************************************************************************************************************************
2023-01-09 22:20:42,937 p=5114 u=craig n=ansible | ok: [192.168.1.99]
2023-01-09 22:20:42,968 p=5114 u=craig n=ansible | TASK [pm_create_lxc : Install proxmoxer on main host] ***********************************************************************************************************************************
2023-01-09 22:20:44,384 p=5114 u=craig n=ansible | ok: [192.168.1.99]
2023-01-09 22:20:44,401 p=5114 u=craig n=ansible | TASK [pm_create_lxc : Create a directory to house the ssh keys to pass to a new LXC] ****************************************************************************************************
2023-01-09 22:20:45,958 p=5114 u=craig n=ansible | ok: [192.168.1.99]
2023-01-09 22:20:45,976 p=5114 u=craig n=ansible | TASK [pm_create_lxc : Copy the bash script to snippets directory and make it executable] ************************************************************************************************
2023-01-09 22:20:48,907 p=5114 u=craig n=ansible | ok: [192.168.1.99]
2023-01-09 22:20:48,936 p=5114 u=craig n=ansible | TASK [pm_create_lxc : Print the ssh key and store it to a variable] *********************************************************************************************************************
2023-01-09 22:20:49,399 p=5114 u=craig n=ansible | changed: [192.168.1.99 -> localhost]
2023-01-09 22:20:49,415 p=5114 u=craig n=ansible | TASK [pm_create_lxc : Create LXC without hookscript] ************************************************************************************************************************************
2023-01-09 22:20:49,425 p=5114 u=craig n=ansible | skipping: [192.168.1.99]
2023-01-09 22:20:49,440 p=5114 u=craig n=ansible | TASK [pm_create_lxc : Create LXC without hookscript] ************************************************************************************************************************************
2023-01-09 22:20:53,886 p=5114 u=craig n=ansible | changed: [192.168.1.99]
2023-01-09 22:20:53,906 p=5114 u=craig n=ansible | TASK [pm_create_lxc : Start container] **************************************************************************************************************************************************
2023-01-09 22:20:57,560 p=5114 u=craig n=ansible | [DEPRECATION WARNING]: The default value `false` for the parameter "unprivileged" is deprecated and it will be replaced with `true`. This feature will be removed from community.general
 in version 7.0.0. Deprecation warnings can be disabled by setting deprecation_warnings=False in ansible.cfg.
2023-01-09 22:20:57,560 p=5114 u=craig n=ansible | changed: [192.168.1.99]
2023-01-09 22:20:57,580 p=5114 u=craig n=ansible | TASK [pm_create_lxc : Add new container to inventory] ***********************************************************************************************************************************
2023-01-09 22:20:57,605 p=5114 u=craig n=ansible | changed: [192.168.1.99]
2023-01-09 22:20:57,639 p=5114 u=craig n=ansible | TASK [pm_create_lxc : Allow release-info to change for APT repositories] ****************************************************************************************************************
2023-01-09 22:21:04,795 p=5114 u=craig n=ansible | changed: [192.168.1.99 -> 192.168.1.112]
2023-01-09 22:21:04,824 p=5114 u=craig n=ansible | TASK [pm_create_lxc : Run the equivalent of "apt-get update"] ***************************************************************************************************************************
2023-01-09 22:21:06,620 p=5114 u=craig n=ansible | ok: [192.168.1.99 -> 192.168.1.112]
2023-01-09 22:21:06,649 p=5114 u=craig n=ansible | TASK [pm_create_lxc : Update all packages to their latest version] **********************************************************************************************************************
2023-01-09 22:21:57,935 p=5114 u=craig n=ansible | changed: [192.168.1.99 -> 192.168.1.112]
2023-01-09 22:21:57,965 p=5114 u=craig n=ansible | TASK [pm_create_lxc : add rsa public key to remote host] ********************************************************************************************************************************
2023-01-09 22:21:57,982 p=5114 u=craig n=ansible | fatal: [192.168.1.99 -> {{machine_ip | regex_replace('/.*', '')}}]: FAILED! => {"msg": "The task includes an option with an undefined variable. The error was: 'rsa_key_path' is undefined\n\nThe error appears to be in '/Users/craig/Projects/automation2/ansible/roles/pm_create_lxc/tasks/main.yaml': line 114, column 3, but may\nbe elsewhere in the file depending on the exact syntax problem.\n\nThe offending line appears to be:\n\n\n- name: add rsa public key to remote host\n  ^ here\n"}
2023-01-09 22:21:57,983 p=5114 u=craig n=ansible | PLAY RECAP ******************************************************************************************************************************************************************************
2023-01-09 22:21:57,983 p=5114 u=craig n=ansible | 192.168.1.99               : ok=12   changed=6    unreachable=0    failed=1    skipped=1    rescued=0    ignored=0   
2023-01-14 09:31:46,346 p=10843 u=craig n=ansible | PLAY [Install VSCode Server on a fresh ubuntu LXC container] *****************************************************************************************************
2023-01-14 09:31:46,365 p=10843 u=craig n=ansible | TASK [Gathering Facts] *******************************************************************************************************************************************
2023-01-14 09:31:47,727 p=10843 u=craig n=ansible | ok: [192.168.1.99]
2023-01-14 09:31:47,744 p=10843 u=craig n=ansible | TASK [ansible.builtin.include_vars] ******************************************************************************************************************************
2023-01-14 09:31:47,756 p=10843 u=craig n=ansible | ok: [192.168.1.99]
2023-01-14 09:31:47,785 p=10843 u=craig n=ansible | TASK [pm_create_lxc : Install proxmoxer on main host] ************************************************************************************************************
2023-01-14 09:31:48,648 p=10843 u=craig n=ansible | ok: [192.168.1.99]
2023-01-14 09:31:48,664 p=10843 u=craig n=ansible | TASK [pm_create_lxc : Create a directory to house the ssh keys to pass to a new LXC] *****************************************************************************
2023-01-14 09:31:49,017 p=10843 u=craig n=ansible | ok: [192.168.1.99]
2023-01-14 09:31:49,034 p=10843 u=craig n=ansible | TASK [pm_create_lxc : Copy the bash script to snippets directory and make it executable] *************************************************************************
2023-01-14 09:31:49,739 p=10843 u=craig n=ansible | ok: [192.168.1.99]
2023-01-14 09:31:49,774 p=10843 u=craig n=ansible | TASK [pm_create_lxc : Print the ssh key and store it to a variable] **********************************************************************************************
2023-01-14 09:31:50,077 p=10843 u=craig n=ansible | changed: [192.168.1.99 -> localhost]
2023-01-14 09:31:50,094 p=10843 u=craig n=ansible | TASK [pm_create_lxc : Create LXC without hookscript] *************************************************************************************************************
2023-01-14 09:31:50,103 p=10843 u=craig n=ansible | skipping: [192.168.1.99]
2023-01-14 09:31:50,119 p=10843 u=craig n=ansible | TASK [pm_create_lxc : Create LXC with hookscript] ****************************************************************************************************************
2023-01-14 09:32:36,137 p=10843 u=craig n=ansible | fatal: [192.168.1.99]: FAILED! => {"changed": false, "msg": "Reached timeout while waiting for creating VM. Last line in task before timeout: [{'t': 'no content', 'n': 1}]"}
2023-01-14 09:32:36,138 p=10843 u=craig n=ansible | PLAY RECAP *******************************************************************************************************************************************************
2023-01-14 09:32:36,138 p=10843 u=craig n=ansible | 192.168.1.99               : ok=6    changed=1    unreachable=0    failed=1    skipped=1    rescued=0    ignored=0   
2023-01-14 12:37:40,375 p=11972 u=craig n=ansible | PLAY [Install VSCode Server on a fresh ubuntu LXC container] *****************************************************************************************************
2023-01-14 12:37:40,393 p=11972 u=craig n=ansible | TASK [Gathering Facts] *******************************************************************************************************************************************
2023-01-14 12:37:41,536 p=11972 u=craig n=ansible | ok: [192.168.1.99]
2023-01-14 12:37:41,553 p=11972 u=craig n=ansible | TASK [ansible.builtin.include_vars] ******************************************************************************************************************************
2023-01-14 12:37:41,566 p=11972 u=craig n=ansible | ok: [192.168.1.99]
2023-01-14 12:37:41,596 p=11972 u=craig n=ansible | TASK [pm_create_lxc : Install proxmoxer on main host] ************************************************************************************************************
2023-01-14 12:37:42,233 p=11972 u=craig n=ansible | ok: [192.168.1.99]
2023-01-14 12:37:42,254 p=11972 u=craig n=ansible | TASK [pm_create_lxc : Create a directory to house the ssh keys to pass to a new LXC] *****************************************************************************
2023-01-14 12:37:42,603 p=11972 u=craig n=ansible | ok: [192.168.1.99]
2023-01-14 12:37:42,621 p=11972 u=craig n=ansible | TASK [pm_create_lxc : Copy the bash script to snippets directory and make it executable] *************************************************************************
2023-01-14 12:37:43,298 p=11972 u=craig n=ansible | ok: [192.168.1.99]
2023-01-14 12:37:43,328 p=11972 u=craig n=ansible | TASK [pm_create_lxc : Print the ssh key and store it to a variable] **********************************************************************************************
2023-01-14 12:37:43,628 p=11972 u=craig n=ansible | changed: [192.168.1.99 -> localhost]
2023-01-14 12:37:43,644 p=11972 u=craig n=ansible | TASK [pm_create_lxc : Create LXC without hookscript] *************************************************************************************************************
2023-01-14 12:37:43,653 p=11972 u=craig n=ansible | skipping: [192.168.1.99]
2023-01-14 12:37:43,668 p=11972 u=craig n=ansible | TASK [pm_create_lxc : Create LXC with hookscript] ****************************************************************************************************************
2023-01-14 12:37:47,354 p=11972 u=craig n=ansible | changed: [192.168.1.99]
2023-01-14 12:37:47,372 p=11972 u=craig n=ansible | TASK [pm_create_lxc : Start container] ***************************************************************************************************************************
2023-01-14 12:37:49,921 p=11972 u=craig n=ansible | [DEPRECATION WARNING]: The default value `false` for the parameter "unprivileged" is deprecated and it will be replaced with `true`. This feature will be removed
 from community.general in version 7.0.0. Deprecation warnings can be disabled by setting deprecation_warnings=False in ansible.cfg.
2023-01-14 12:37:49,922 p=11972 u=craig n=ansible | changed: [192.168.1.99]
2023-01-14 12:37:49,943 p=11972 u=craig n=ansible | TASK [pm_create_lxc : Add new container to inventory] ************************************************************************************************************
2023-01-14 12:37:49,973 p=11972 u=craig n=ansible | changed: [192.168.1.99]
2023-01-14 12:37:50,007 p=11972 u=craig n=ansible | TASK [pm_create_lxc : Allow release-info to change for APT repositories] *****************************************************************************************
2023-01-14 12:37:57,495 p=11972 u=craig n=ansible | changed: [192.168.1.99 -> 192.168.1.112]
2023-01-14 12:37:57,526 p=11972 u=craig n=ansible | TASK [pm_create_lxc : Run the equivalent of "apt-get update"] ****************************************************************************************************
2023-01-14 12:37:58,764 p=11972 u=craig n=ansible | ok: [192.168.1.99 -> 192.168.1.112]
2023-01-14 12:37:58,796 p=11972 u=craig n=ansible | TASK [pm_create_lxc : Update all packages to their latest version] ***********************************************************************************************
2023-01-14 12:38:29,660 p=11972 u=craig n=ansible | changed: [192.168.1.99 -> 192.168.1.112]
2023-01-14 12:38:29,690 p=11972 u=craig n=ansible | TASK [pm_create_lxc : add rsa public key to remote host] *********************************************************************************************************
2023-01-14 12:38:29,708 p=11972 u=craig n=ansible | fatal: [192.168.1.99 -> {{machine_ip | regex_replace('/.*', '')}}]: FAILED! => {"msg": "The task includes an option with an undefined variable. The error was: 'rsa_key_path' is undefined\n\nThe error appears to be in '/Users/craig/Projects/homelab/ansible/roles/pm_create_lxc/tasks/main.yaml': line 114, column 3, but may\nbe elsewhere in the file depending on the exact syntax problem.\n\nThe offending line appears to be:\n\n\n- name: add rsa public key to remote host\n  ^ here\n"}
2023-01-14 12:38:29,709 p=11972 u=craig n=ansible | PLAY RECAP *******************************************************************************************************************************************************
2023-01-14 12:38:29,709 p=11972 u=craig n=ansible | 192.168.1.99               : ok=12   changed=6    unreachable=0    failed=1    skipped=1    rescued=0    ignored=0   
2023-01-14 12:41:04,010 p=12435 u=craig n=ansible | PLAY [Install VSCode Server on a fresh ubuntu LXC container] *****************************************************************************************************
2023-01-14 12:41:04,028 p=12435 u=craig n=ansible | TASK [Gathering Facts] *******************************************************************************************************************************************
2023-01-14 12:41:05,211 p=12435 u=craig n=ansible | ok: [192.168.1.99]
2023-01-14 12:41:05,230 p=12435 u=craig n=ansible | TASK [ansible.builtin.include_vars] ******************************************************************************************************************************
2023-01-14 12:41:05,241 p=12435 u=craig n=ansible | ok: [192.168.1.99]
2023-01-14 12:41:05,270 p=12435 u=craig n=ansible | TASK [pm_create_lxc : Install proxmoxer on main host] ************************************************************************************************************
2023-01-14 12:41:05,911 p=12435 u=craig n=ansible | ok: [192.168.1.99]
2023-01-14 12:41:05,929 p=12435 u=craig n=ansible | TASK [pm_create_lxc : Create a directory to house the ssh keys to pass to a new LXC] *****************************************************************************
2023-01-14 12:41:06,269 p=12435 u=craig n=ansible | ok: [192.168.1.99]
2023-01-14 12:41:06,286 p=12435 u=craig n=ansible | TASK [pm_create_lxc : Copy the bash script to snippets directory and make it executable] *************************************************************************
2023-01-14 12:41:06,962 p=12435 u=craig n=ansible | ok: [192.168.1.99]
2023-01-14 12:41:06,991 p=12435 u=craig n=ansible | TASK [pm_create_lxc : Print the ssh key and store it to a variable] **********************************************************************************************
2023-01-14 12:41:07,292 p=12435 u=craig n=ansible | changed: [192.168.1.99 -> localhost]
2023-01-14 12:41:07,308 p=12435 u=craig n=ansible | TASK [pm_create_lxc : Create LXC without hookscript] *************************************************************************************************************
2023-01-14 12:41:07,319 p=12435 u=craig n=ansible | skipping: [192.168.1.99]
2023-01-14 12:41:07,335 p=12435 u=craig n=ansible | TASK [pm_create_lxc : Create LXC with hookscript] ****************************************************************************************************************
2023-01-14 12:41:10,922 p=12435 u=craig n=ansible | changed: [192.168.1.99]
2023-01-14 12:41:10,941 p=12435 u=craig n=ansible | TASK [pm_create_lxc : Start container] ***************************************************************************************************************************
2023-01-14 12:41:13,809 p=12435 u=craig n=ansible | [DEPRECATION WARNING]: The default value `false` for the parameter "unprivileged" is deprecated and it will be replaced with `true`. This feature will be removed
 from community.general in version 7.0.0. Deprecation warnings can be disabled by setting deprecation_warnings=False in ansible.cfg.
2023-01-14 12:41:13,809 p=12435 u=craig n=ansible | changed: [192.168.1.99]
2023-01-14 12:41:13,832 p=12435 u=craig n=ansible | TASK [pm_create_lxc : Add new container to inventory] ************************************************************************************************************
2023-01-14 12:41:13,858 p=12435 u=craig n=ansible | changed: [192.168.1.99]
2023-01-14 12:41:13,892 p=12435 u=craig n=ansible | TASK [pm_create_lxc : Allow release-info to change for APT repositories] *****************************************************************************************
2023-01-14 12:41:21,804 p=12435 u=craig n=ansible | changed: [192.168.1.99 -> 192.168.1.112]
2023-01-14 12:41:21,839 p=12435 u=craig n=ansible | TASK [pm_create_lxc : Run the equivalent of "apt-get update"] ****************************************************************************************************
2023-01-14 12:41:23,071 p=12435 u=craig n=ansible | ok: [192.168.1.99 -> 192.168.1.112]
2023-01-14 12:41:23,100 p=12435 u=craig n=ansible | TASK [pm_create_lxc : Update all packages to their latest version] ***********************************************************************************************
2023-01-14 12:41:54,292 p=12435 u=craig n=ansible | changed: [192.168.1.99 -> 192.168.1.112]
2023-01-14 12:41:54,329 p=12435 u=craig n=ansible | TASK [pm_create_lxc : add rsa public key to remote host] *********************************************************************************************************
2023-01-14 12:41:55,847 p=12435 u=craig n=ansible | ok: [192.168.1.99 -> 192.168.1.112]
2023-01-14 12:41:55,890 p=12435 u=craig n=ansible | TASK [Ensure the container is running] ***************************************************************************************************************************
2023-01-14 12:41:56,897 p=12435 u=craig n=ansible | fatal: [192.168.1.99]: FAILED! => {"changed": false, "msg": "The `lxc` module is not importable. Check the requirements."}
2023-01-14 12:41:56,900 p=12435 u=craig n=ansible | PLAY RECAP *******************************************************************************************************************************************************
2023-01-14 12:41:56,900 p=12435 u=craig n=ansible | 192.168.1.99               : ok=13   changed=6    unreachable=0    failed=1    skipped=1    rescued=0    ignored=0   
2023-01-14 12:56:56,214 p=13796 u=craig n=ansible | PLAY [Install VSCode Server on a fresh ubuntu LXC container] *****************************************************************************************************
2023-01-14 12:56:56,231 p=13796 u=craig n=ansible | TASK [Gathering Facts] *******************************************************************************************************************************************
2023-01-14 12:56:57,441 p=13796 u=craig n=ansible | ok: [192.168.1.99]
2023-01-14 12:56:57,459 p=13796 u=craig n=ansible | TASK [ansible.builtin.include_vars] ******************************************************************************************************************************
2023-01-14 12:56:57,470 p=13796 u=craig n=ansible | ok: [192.168.1.99]
2023-01-14 12:56:57,499 p=13796 u=craig n=ansible | TASK [pm_create_lxc : Install proxmoxer on main host] ************************************************************************************************************
2023-01-14 12:56:58,119 p=13796 u=craig n=ansible | ok: [192.168.1.99]
2023-01-14 12:56:58,138 p=13796 u=craig n=ansible | TASK [pm_create_lxc : Create a directory to house the ssh keys to pass to a new LXC] *****************************************************************************
2023-01-14 12:56:58,469 p=13796 u=craig n=ansible | ok: [192.168.1.99]
2023-01-14 12:56:58,486 p=13796 u=craig n=ansible | TASK [pm_create_lxc : Copy the bash script to snippets directory and make it executable] *************************************************************************
2023-01-14 12:56:59,224 p=13796 u=craig n=ansible | ok: [192.168.1.99]
2023-01-14 12:56:59,253 p=13796 u=craig n=ansible | TASK [pm_create_lxc : Print the ssh key and store it to a variable] **********************************************************************************************
2023-01-14 12:56:59,551 p=13796 u=craig n=ansible | changed: [192.168.1.99 -> localhost]
2023-01-14 12:56:59,567 p=13796 u=craig n=ansible | TASK [pm_create_lxc : Create LXC without hookscript] *************************************************************************************************************
2023-01-14 12:56:59,577 p=13796 u=craig n=ansible | skipping: [192.168.1.99]
2023-01-14 12:56:59,592 p=13796 u=craig n=ansible | TASK [pm_create_lxc : Create LXC with hookscript] ****************************************************************************************************************
2023-01-14 12:57:03,237 p=13796 u=craig n=ansible | changed: [192.168.1.99]
2023-01-14 12:57:03,257 p=13796 u=craig n=ansible | TASK [pm_create_lxc : Start container] ***************************************************************************************************************************
2023-01-14 12:57:05,746 p=13796 u=craig n=ansible | [DEPRECATION WARNING]: The default value `false` for the parameter "unprivileged" is deprecated and it will be replaced with `true`. This feature will be removed
 from community.general in version 7.0.0. Deprecation warnings can be disabled by setting deprecation_warnings=False in ansible.cfg.
2023-01-14 12:57:05,747 p=13796 u=craig n=ansible | changed: [192.168.1.99]
2023-01-14 12:57:05,767 p=13796 u=craig n=ansible | TASK [pm_create_lxc : Add new container to inventory] ************************************************************************************************************
2023-01-14 12:57:05,790 p=13796 u=craig n=ansible | changed: [192.168.1.99]
2023-01-14 12:57:05,825 p=13796 u=craig n=ansible | TASK [pm_create_lxc : Allow release-info to change for APT repositories] *****************************************************************************************
2023-01-14 12:57:15,101 p=13796 u=craig n=ansible | changed: [192.168.1.99 -> 192.168.1.112]
2023-01-14 12:57:15,135 p=13796 u=craig n=ansible | TASK [pm_create_lxc : Run the equivalent of "apt-get update"] ****************************************************************************************************
2023-01-14 12:57:16,390 p=13796 u=craig n=ansible | ok: [192.168.1.99 -> 192.168.1.112]
2023-01-14 12:57:16,420 p=13796 u=craig n=ansible | TASK [pm_create_lxc : Update all packages to their latest version] ***********************************************************************************************
2023-01-14 12:57:47,400 p=13796 u=craig n=ansible | changed: [192.168.1.99 -> 192.168.1.112]
2023-01-14 12:57:47,431 p=13796 u=craig n=ansible | TASK [pm_create_lxc : add rsa public key to remote host] *********************************************************************************************************
2023-01-14 12:57:48,798 p=13796 u=craig n=ansible | ok: [192.168.1.99 -> 192.168.1.112]
2023-01-14 12:57:48,844 p=13796 u=craig n=ansible | TASK [Verify that the target is online/contactable] **************************************************************************************************************
2023-01-14 12:57:50,021 p=13796 u=craig n=ansible | ok: [192.168.1.99 -> 192.168.1.112]
2023-01-14 12:57:50,056 p=13796 u=craig n=ansible | TASK [Install VSCode Server from this url 'https://code.visualstudio.com/sha/download?build=stable&os=cli-alpine-x64'] *******************************************
2023-01-14 12:57:51,688 p=13796 u=craig n=ansible | changed: [192.168.1.99 -> 192.168.1.112]
2023-01-14 12:57:51,721 p=13796 u=craig n=ansible | TASK [Unpack the VSCode Server] **********************************************************************************************************************************
2023-01-14 12:57:52,620 p=13796 u=craig n=ansible | changed: [192.168.1.99 -> 192.168.1.112]
2023-01-14 12:57:52,651 p=13796 u=craig n=ansible | TASK [Move the VSCode Server to the correct location] ************************************************************************************************************
2023-01-14 12:57:52,962 p=13796 u=craig n=ansible | fatal: [192.168.1.99 -> 192.168.1.112]: FAILED! => {"changed": true, "cmd": ["mv", "/tmp/.vscode-server", "/root/.vscode-server"], "delta": "0:00:00.001858", "end": "2023-01-14 17:57:52.934755", "msg": "non-zero return code", "rc": 1, "start": "2023-01-14 17:57:52.932897", "stderr": "mv: cannot stat '/tmp/.vscode-server': No such file or directory", "stderr_lines": ["mv: cannot stat '/tmp/.vscode-server': No such file or directory"], "stdout": "", "stdout_lines": []}
2023-01-14 12:57:52,963 p=13796 u=craig n=ansible | PLAY RECAP *******************************************************************************************************************************************************
2023-01-14 12:57:52,963 p=13796 u=craig n=ansible | 192.168.1.99               : ok=16   changed=8    unreachable=0    failed=1    skipped=1    rescued=0    ignored=0   
2023-01-14 13:02:59,823 p=14441 u=craig n=ansible | PLAY [Install VSCode Server on a fresh ubuntu LXC container] *****************************************************************************************************
2023-01-14 13:02:59,840 p=14441 u=craig n=ansible | TASK [Gathering Facts] *******************************************************************************************************************************************
2023-01-14 13:03:01,156 p=14441 u=craig n=ansible | ok: [192.168.1.99]
2023-01-14 13:03:01,173 p=14441 u=craig n=ansible | TASK [ansible.builtin.include_vars] ******************************************************************************************************************************
2023-01-14 13:03:01,185 p=14441 u=craig n=ansible | ok: [192.168.1.99]
2023-01-14 13:03:01,214 p=14441 u=craig n=ansible | TASK [pm_create_lxc : Install proxmoxer on main host] ************************************************************************************************************
2023-01-14 13:03:01,880 p=14441 u=craig n=ansible | ok: [192.168.1.99]
2023-01-14 13:03:01,898 p=14441 u=craig n=ansible | TASK [pm_create_lxc : Create a directory to house the ssh keys to pass to a new LXC] *****************************************************************************
2023-01-14 13:03:02,239 p=14441 u=craig n=ansible | ok: [192.168.1.99]
2023-01-14 13:03:02,255 p=14441 u=craig n=ansible | TASK [pm_create_lxc : Copy the bash script to snippets directory and make it executable] *************************************************************************
2023-01-14 13:03:03,006 p=14441 u=craig n=ansible | ok: [192.168.1.99]
2023-01-14 13:03:03,038 p=14441 u=craig n=ansible | TASK [pm_create_lxc : Print the ssh key and store it to a variable] **********************************************************************************************
2023-01-14 13:03:03,332 p=14441 u=craig n=ansible | changed: [192.168.1.99 -> localhost]
2023-01-14 13:03:03,348 p=14441 u=craig n=ansible | TASK [pm_create_lxc : Create LXC without hookscript] *************************************************************************************************************
2023-01-14 13:03:03,358 p=14441 u=craig n=ansible | skipping: [192.168.1.99]
2023-01-14 13:03:03,373 p=14441 u=craig n=ansible | TASK [pm_create_lxc : Create LXC with hookscript] ****************************************************************************************************************
2023-01-14 13:03:04,474 p=14441 u=craig n=ansible | ok: [192.168.1.99]
2023-01-14 13:03:04,493 p=14441 u=craig n=ansible | TASK [pm_create_lxc : Start container] ***************************************************************************************************************************
2023-01-14 13:03:05,506 p=14441 u=craig n=ansible | [DEPRECATION WARNING]: The default value `false` for the parameter "unprivileged" is deprecated and it will be replaced with `true`. This feature will be removed
 from community.general in version 7.0.0. Deprecation warnings can be disabled by setting deprecation_warnings=False in ansible.cfg.
2023-01-14 13:03:05,507 p=14441 u=craig n=ansible | ok: [192.168.1.99]
2023-01-14 13:03:05,529 p=14441 u=craig n=ansible | TASK [pm_create_lxc : Add new container to inventory] ************************************************************************************************************
2023-01-14 13:03:05,552 p=14441 u=craig n=ansible | changed: [192.168.1.99]
2023-01-14 13:03:05,586 p=14441 u=craig n=ansible | TASK [pm_create_lxc : Allow release-info to change for APT repositories] *****************************************************************************************
2023-01-14 13:03:07,592 p=14441 u=craig n=ansible | changed: [192.168.1.99 -> 192.168.1.112]
2023-01-14 13:03:07,625 p=14441 u=craig n=ansible | TASK [pm_create_lxc : Run the equivalent of "apt-get update"] ****************************************************************************************************
2023-01-14 13:03:08,631 p=14441 u=craig n=ansible | ok: [192.168.1.99 -> 192.168.1.112]
2023-01-14 13:03:08,662 p=14441 u=craig n=ansible | TASK [pm_create_lxc : Update all packages to their latest version] ***********************************************************************************************
2023-01-14 13:03:09,526 p=14441 u=craig n=ansible | ok: [192.168.1.99 -> 192.168.1.112]
2023-01-14 13:03:09,552 p=14441 u=craig n=ansible | TASK [pm_create_lxc : add rsa public key to remote host] *********************************************************************************************************
2023-01-14 13:03:10,015 p=14441 u=craig n=ansible | ok: [192.168.1.99 -> 192.168.1.112]
2023-01-14 13:03:10,057 p=14441 u=craig n=ansible | TASK [Verify that the target is online/contactable] **************************************************************************************************************
2023-01-14 13:03:10,456 p=14441 u=craig n=ansible | ok: [192.168.1.99 -> 192.168.1.112]
2023-01-14 13:03:10,484 p=14441 u=craig n=ansible | TASK [Install VSCode Server from this url 'https://code.visualstudio.com/sha/download?build=stable&os=cli-alpine-x64'] *******************************************
2023-01-14 13:03:11,693 p=14441 u=craig n=ansible | ok: [192.168.1.99 -> 192.168.1.112]
2023-01-14 13:03:11,723 p=14441 u=craig n=ansible | TASK [Unpack the VSCode Server] **********************************************************************************************************************************
2023-01-14 13:03:12,542 p=14441 u=craig n=ansible | ok: [192.168.1.99 -> 192.168.1.112]
2023-01-14 13:03:12,573 p=14441 u=craig n=ansible | TASK [Move the VSCode Server to the correct location] ************************************************************************************************************
2023-01-14 13:03:12,900 p=14441 u=craig n=ansible | changed: [192.168.1.99 -> 192.168.1.112]
2023-01-14 13:03:12,931 p=14441 u=craig n=ansible | TASK [Remove the VSCode Server tarball] **************************************************************************************************************************
2023-01-14 13:03:13,240 p=14441 u=craig n=ansible | changed: [192.168.1.99 -> 192.168.1.112]
2023-01-14 13:03:13,269 p=14441 u=craig n=ansible | TASK [Remove the VSCode Server directory] ************************************************************************************************************************
2023-01-14 13:03:13,600 p=14441 u=craig n=ansible | ok: [192.168.1.99 -> 192.168.1.112]
2023-01-14 13:03:13,630 p=14441 u=craig n=ansible | TASK [Create a script called 'codeserverstart.sh'] ***************************************************************************************************************
2023-01-14 13:03:14,301 p=14441 u=craig n=ansible | changed: [192.168.1.99 -> 192.168.1.112]
2023-01-14 13:03:14,329 p=14441 u=craig n=ansible | TASK [Create the VSCode Server systemd service to run './code tunnel' on boot] ***********************************************************************************
2023-01-14 13:03:14,910 p=14441 u=craig n=ansible | changed: [192.168.1.99 -> 192.168.1.112]
2023-01-14 13:03:14,943 p=14441 u=craig n=ansible | TASK [Enable the VSCode Server systemd service] ******************************************************************************************************************
2023-01-14 13:03:15,697 p=14441 u=craig n=ansible | changed: [192.168.1.99 -> 192.168.1.112]
2023-01-14 13:03:15,728 p=14441 u=craig n=ansible | TASK [Start the VSCode Server systemd service] *******************************************************************************************************************
2023-01-14 13:03:16,173 p=14441 u=craig n=ansible | changed: [192.168.1.99 -> 192.168.1.112]
2023-01-14 13:03:16,206 p=14441 u=craig n=ansible | PLAY RECAP *******************************************************************************************************************************************************
2023-01-14 13:03:16,206 p=14441 u=craig n=ansible | 192.168.1.99               : ok=23   changed=9    unreachable=0    failed=0    skipped=1    rescued=0    ignored=0   
2023-01-15 21:08:54,204 p=45305 u=craig n=ansible | ERROR! the playbook: docker.yaml could not be found
